AREA,BLOCK
Riffa / Abuhair,914
Riffa / Abuhair,915
Riffa / Abuhair,916
Riffa / Abuhair,922
Riffa / Abuhair,933
Riffa / Abuhair,934
Riffa / Abuhair,937
Riffa / Abuhair,941
Saar,517
Saar,521
Saar,523
Saar,525
Saar,527
Sadaq,1037
Safriya,1041
Salhiya,356
Salmabad,702
Salmabad,704
Salmabad,706
Salmabad,708
Salmabad,712
Samaheej,234
Samaheej,235
Samaheej,236
Samaheej,237C
Sanabis,402
Sanabis,404
Sanabis,405
Sanabis,406
Sanabis,408
Sanabis,410
Sanad,743
Sanad,745
Shahrakan,1042
Shahrakan,1044
Sitra,
Sitra Industrial Area,601
Souq,301
Souq,302
Souq,303
Souq,304
Souq,305
Southern Sehla,368
Sufala,309
Sukhair,976
Sukhair,985
Swaidrah,
Tashan,407
Tubli,701
Tubli,705
Tubli,707
Tubli,709
Tubli,711
Um Al Naasan,1092
Um Albaidh,976
Um Albaidh,985
Um Alhassam,333
Um Alhassam,335
Um Alhassam,337
Um Alhassam,339
Wadi Al Sale,928
Wadyan,608
West Riffa,902
West Riffa,904
West Riffa,908
West Riffa,910
West Riffa,912
Western Aker,624
Western Aker,625
Western Aker,626
Zallaq,0
Zallaq,10
Zallaq,105
Zallaq,210
Zallaq,500
Zallaq,51
Zallaq,561
Zayed Town,718
Zayed Town,720
Zinj,358
Zinj,359
Zinj,360
